Feature,Random Forest Importance,Gradient Boosting Importance,Average Importance
thal,0.12157104786377759,0.23826278799547615,0.17991691792962689
cp,0.14204997736459554,0.2013549239972758,0.17170245068093568
ca,0.09747700497286242,0.12972885023053637,0.1136029276016994
oldpeak,0.11458512468120446,0.08956750221357812,0.10207631344739129
age,0.09423847336200307,0.10733231992099934,0.10078539664150121
chol,0.08915477749202903,0.07974285524553407,0.08444881636878154
thalach,0.12129577109380234,0.04054116372115927,0.0809184674074808
trestbps,0.0748912605545069,0.04371434736661361,0.05930280396056026
slope,0.052332754239273506,0.032077003105442085,0.042204878672357796
exang,0.03649538858117452,0.011493097669527287,0.023994243125350905
sex,0.02600759634229401,0.01368125215569816,0.019844424248996087
restecg,0.020039473155325012,0.01160518003078902,0.015822326593057018
fbs,0.009861350297151744,0.0008987163473705915,0.005380033322261168
